DOITT_ID, BASE_BBL                                                              
2031,3073190027                                                                 
20133,3057390001                                                                
28101,4053360030                                                                
38986,3081900039                                                                
65007,3081900050                                                                
78887,3015920001                                                                
84890,5069190060                                                                
95005,4163500300                                                                
96911,2038380260                                                                
99847,3067340024                                                                
108776,2023490100                                                               
109227,4021590002                                                               
118109,4081400122                                                               
119176,4016440043                                                               
126452,5030630006                                                               
136073,3015530025                                                               
137420,4088330047                                                               
137929,2059490237                                                               
147700,5069310052                                                               
149317,1011820018                                                               
150477,4126580018                                                               
153955,3003840051                                                               
156842,3005550005                                                               
161865,4040520007                                                               
164201,4110920049                                                               
176430,5038240003                                                               
177520,5005340025                                                               
179111,1011820119                                                               
179405,4088330041                                                               
192589,4003720008                                                               
210858,3014710020                                                               
213356,4053960011                                                               
214296,2038380260                                                               
222632,3011300011                                                               
223627,4088270004                                                               
231130,4126580018                                                               
232822,5055310144                                                               
242895,3057200059                                                               
245714,3081900039                                                               
248915,3020850002                                                               
257153,4081000025                                                               
262020,5004870020                                                               
265264,1010500001                                                               
266897,5004870020                                                               
272493,4013230009                                                               
274047,3052560004                                                               
278843,4050030045                                                               
280175,5004870020                                                               
289050,5033320039                                                               
291266,5008000001                                                               
295236,2038380260                                                               
307893,3013610022                                                               
313329,2026050020                                                               
318238,4018320010                                                               
319279,3081900050                                                               
323015,4016440041                                                               
326350,2038380260                                                               
329433,4013230006                                                               
331999,4081400124                                                               
334446,3020850002                                                               
343942,4008140001                                                               
345672,3086080037                                                               
347099,1013730040                                                               
359772,3081900039                                                               
360912,4122480019                                                               
385639,3081900050                                                               
385664,4013230009                                                               
389716,3009080162                                                               
443955,3046570007                                                               
444004,3010870010                                                               
455650,5004870020                                                               
455960,4123560002                                                               
457710,5054410076                                                               
465303,2046170028                                                               
476343,4141830025                                                               
483158,5077100213                                                               
490040,5024510115                                                               
503587,2038380260                                                               
506263,2054160125                                                               
509170,3020230001                                                               
513465,3079670039                                                               
519618,5001610099                                                               
524892,3002810001                                                               
534495,5070940144                                                               
566310,5004870020                                                               
568823,3081900050                                                               
572011,5004870020                                                               
572433,4163500300                                                               
572676,3081900050                                                               
575488,4133460081                                                               
578801,3071970014                                                               
582238,3020880030                                                               
587283,3055870060                                                               
594055,3025710018                                                               
597703,5066940173                                                               
601267,1014860005                                                               
602710,2038270001                                                               
614451,4024480001                                                               
616486,3081900039                                                               
633353,5063490021                                                               
640113,3081900039                                                               
640443,5004870020                                                               
646836,3081900050                                                               
